feature,mean_abs_shap,mean_shap,is_policy,direction
SC214Q02JA,0.01623126,0.0013924817,False,increases_slope
SC188Q08JA,0.01621488,-0.0009895591,False,reduces_slope
SC016Q01TA,0.016193097,-0.0012552066,False,reduces_slope
SCPREPBP,0.01598293,0.0015404383,False,increases_slope
SC216Q08JA,0.01590869,0.0025835498,False,increases_slope
SC061Q10TA,0.015176063,0.000583522,False,increases_slope
SC210Q01JA,0.01513872,-0.0014870436,False,reduces_slope
SC204Q01JA,0.015062993,0.0008349919,False,increases_slope
SC212Q03JA,0.014856185,0.00056163955,False,increases_slope
SC201Q07JA,0.014846624,6.9570433e-06,False,increases_slope
SC202Q06JA,0.014833182,-0.0008964365,False,reduces_slope
SC185Q03WA,0.01425955,0.00061743584,False,increases_slope
SC207Q08JA,0.014198584,-0.0015788152,False,reduces_slope
SC216Q06JA,0.0141658485,-0.0017445015,False,reduces_slope
SC190Q06JA,0.013962901,0.0012056513,False,increases_slope
SC017Q03NA,0.013835022,-0.00043958912,False,reduces_slope
SCSUPRT,0.013772585,0.0006510665,False,increases_slope
SC035Q11NA,0.013672016,1.6569731e-05,False,increases_slope
SCSUPRTED,0.013447153,0.0004011537,False,increases_slope
SC017Q04NA,0.013437572,-0.0010828609,False,reduces_slope
SC190Q09JA,0.013337692,0.0014504169,False,increases_slope
SC002Q01TA,0.013140106,-0.00012438808,True,reduces_slope
SC193Q01WA,0.013127588,-0.001035465,False,reduces_slope
SC012Q03TA,0.013126082,0.00075406,True,increases_slope
SC214Q01JA,0.012987451,0.0011497355,False,increases_slope
SC168Q01JA,0.012894891,-0.00048424065,False,reduces_slope
SC012Q11JA,0.012809484,0.003711091,False,increases_slope
SC004Q08JA,0.01270976,0.0010952969,False,increases_slope
SC190Q05JA,0.012384904,0.0024010409,False,increases_slope
SC037Q02TA,0.012365211,0.00033599438,False,increases_slope
SC195Q01JA,0.012242681,0.00093816867,False,increases_slope
SC221Q02JA,0.01211798,0.00049324165,False,increases_slope
SC193Q06WA,0.012066426,0.00033405938,False,increases_slope
SC183Q02JA,0.011987287,0.0022715216,False,increases_slope
SC025Q02NA,0.011666932,0.0003617284,False,increases_slope
SC173Q05JA,0.011436754,-0.0013146375,False,reduces_slope
SC205Q02JA,0.011325439,-0.0006600925,False,reduces_slope
SC155Q09HA,0.011322029,5.030315e-05,False,increases_slope
SC016Q04TA,0.011088724,-0.00044374075,False,reduces_slope
SC211Q03JA,0.010999316,0.0017306191,False,increases_slope
SC173Q02JA,0.01089407,-0.0013167257,False,reduces_slope
SC037Q06NA,0.010834151,3.8687676e-06,False,increases_slope
SC208Q01JA,0.010771651,-0.0004160801,False,reduces_slope
SC188Q09JA,0.010575633,-0.0006882173,False,reduces_slope
SC188Q10JA,0.010466344,-0.0003122679,False,reduces_slope
SC205Q07JA,0.010444717,0.000435231,False,increases_slope
SC004Q02TA,0.010384139,0.00049556274,False,increases_slope
SC184Q07JA,0.010341123,0.00046845034,False,increases_slope
SC004Q03TA,0.010329295,-0.0008251,False,reduces_slope
SC018Q10JA02,0.010312655,0.00034682328,False,increases_slope
SC064Q01TA,0.01027252,0.00033645282,False,increases_slope
SC185Q05WA,0.009959163,8.5927255e-05,False,increases_slope
SC184Q01JA,0.009816951,-0.0033938747,False,reduces_slope
SC188Q07JA,0.00957733,-0.0012184081,False,reduces_slope
SC184Q02JA,0.009376478,0.0029649863,False,increases_slope
SC200Q04JA,0.0093123065,-0.0011247443,False,reduces_slope
SC209Q05JA,0.009298085,0.000536166,False,increases_slope
SC217Q05JA,0.009130773,0.002816143,False,increases_slope
SC034Q01NA,0.0090081645,-0.00048230455,False,reduces_slope
SC205Q05JA,0.008886897,-0.0020830133,False,reduces_slope
SC155Q06HA,0.008734512,-0.00037080393,False,reduces_slope
SC209Q06JA,0.008604419,-0.0028641059,False,reduces_slope
SC053Q07TA,0.008603272,0.0014368366,False,increases_slope
SC222Q02JA,0.008503877,-0.00055633916,False,reduces_slope
SC064Q05WA,0.007996862,-0.0011686281,False,reduces_slope
SC178Q01JA,0.007882409,0.0010755168,False,increases_slope
SC061Q09TA,0.007735145,-0.0015103541,False,reduces_slope
SC053Q05NA,0.0075493897,0.00015246119,False,increases_slope
SC217Q03JA,0.007514197,-0.0003675352,False,reduces_slope
SC211Q02JA,0.00685033,0.00022654123,False,increases_slope
SC217Q01JA,0.006227974,0.00011264963,False,increases_slope
SC025Q01NA,0.00618664,0.00037306137,False,increases_slope
SC042Q02TA,0.0061857994,-0.0009401868,False,reduces_slope
SC215Q02JA,0.006041512,-0.00028893646,False,reduces_slope
SC215Q01JA,0.006027298,0.00034888624,False,increases_slope
SC214Q03JA,0.006017174,0.00023713213,False,increases_slope
SC018Q08JA02,0.005843777,-5.6459216e-05,False,reduces_slope
SC192Q06JA,0.0055009197,0.0013213359,False,increases_slope
SC193Q05WA,0.0053934576,-0.0006378478,False,reduces_slope
SC037Q01TA,0.0053892285,0.0009966935,False,increases_slope
SC042Q01TA,0.005389159,0.0017202104,False,increases_slope
SC215Q06JA,0.0052868663,-7.1099246e-05,False,reduces_slope
SC182Q09JA02,0.0052409875,0.00011449098,False,increases_slope
SC204Q06JA,0.005149526,-0.0010710706,False,reduces_slope
SC217Q04JA,0.0049442393,-0.0004815819,False,reduces_slope
SC035Q10TA,0.004818022,0.0010667208,False,increases_slope
SCHSIZE,0.0046940073,0.00096914195,True,increases_slope
SC217Q07JA,0.004657191,0.0004248289,False,increases_slope
SC182Q08JA02,0.004648529,-0.0003450359,False,reduces_slope
SC064Q04NA,0.0046184734,0.0002366699,False,increases_slope
SC061Q02TA,0.004603776,-0.00054971187,False,reduces_slope
SC168Q03JA,0.004543016,0.00026629728,False,increases_slope
SC190Q10JA,0.0045177424,2.2310821e-06,False,increases_slope
SC205Q01JA,0.0043688514,0.00015423237,False,increases_slope
SC202Q07JA,0.004206015,0.0010252965,False,increases_slope
SC035Q05TA,0.004203277,4.750709e-05,False,increases_slope
SC216Q09JA,0.0041533285,0.0009332933,False,increases_slope
SC200Q02JA,0.004138532,-8.943241e-05,False,reduces_slope
SC037Q11JA,0.004120275,-0.00040970324,False,reduces_slope
SC223Q03JA,0.0039971187,0.0006811205,False,increases_slope
SC178Q02JA,0.0037581637,-0.00020438898,False,reduces_slope
SC018Q09JA02,0.0036707998,0.00031705224,False,increases_slope
SC061Q11HA,0.0035015508,-0.000113442235,False,reduces_slope
SC220Q01JA,0.0032490748,0.00038903987,False,increases_slope
SC173Q01JA,0.0032477658,-0.0005598493,False,reduces_slope
