CNT,SCHOOLID,SCHTYPE,SCHSIZE,STRATIO,COUNTRY_AVG_GAP,TRAJECTORY,EQUITY_RISK_SCORE
ALB,800095.0,3.0,838.0,,52.4,Closing,23.5
ALB,800096.0,3.0,649.0,,52.4,Closing,9.5
ALB,800097.0,1.0,546.0,,52.4,Closing,19.8
ALB,800098.0,1.0,364.0,,52.4,Closing,20.4
ALB,800099.0,3.0,416.0,,52.4,Closing,9.5
ALB,800100.0,3.0,932.0,,52.4,Closing,11.4
ALB,800101.0,3.0,182.0,,52.4,Closing,25.5
ALB,800102.0,3.0,99999999.0,,52.4,Closing,12.6
ALB,800103.0,3.0,88.0,,52.4,Closing,20.4
ALB,800104.0,3.0,120.0,,52.4,Closing,11.4
ALB,800105.0,3.0,197.0,,52.4,Closing,9.5
ALB,800106.0,3.0,29.0,,52.4,Closing,9.5
ALB,800107.0,3.0,231.0,,52.4,Closing,13.2
ALB,800108.0,1.0,316.0,,52.4,Closing,9.5
ALB,800109.0,3.0,294.0,,52.4,Closing,25.1
ALB,800110.0,3.0,157.0,,52.4,Closing,9.5
ALB,800111.0,3.0,451.0,,52.4,Closing,15.5
ALB,800112.0,3.0,203.0,,52.4,Closing,10.1
ALB,800113.0,3.0,337.0,,52.4,Closing,20.4
ALB,800114.0,3.0,282.0,,52.4,Closing,38.3
ALB,800115.0,3.0,776.0,,52.4,Closing,15.5
ALB,800116.0,3.0,749.0,,52.4,Closing,21.0
ALB,800117.0,3.0,448.0,,52.4,Closing,19.8
ALB,800118.0,3.0,711.0,,52.4,Closing,20.4
ALB,800119.0,3.0,89.0,,52.4,Closing,9.5
ALB,800120.0,3.0,1049.0,,52.4,Closing,15.5
ALB,800123.0,,930.0,,52.4,Closing,19.8
ALB,800125.0,3.0,505.0,,52.4,Closing,14.2
ALB,800126.0,3.0,597.0,,52.4,Closing,21.0
ALB,800127.0,3.0,29.0,,52.4,Closing,22.7
ALB,800128.0,3.0,1045.0,,52.4,Closing,15.5
ALB,800129.0,3.0,112.0,,52.4,Closing,22.9
ALB,800130.0,3.0,616.0,,52.4,Closing,11.4
ALB,800131.0,3.0,460.0,,52.4,Closing,11.4
ALB,800132.0,3.0,1140.0,,52.4,Closing,10.7
ALB,800133.0,1.0,364.0,,52.4,Closing,9.5
ALB,800134.0,3.0,69.0,,52.4,Closing,19.8
ALB,800135.0,3.0,91.0,,52.4,Closing,14.2
ALB,800137.0,3.0,341.0,,52.4,Closing,24.5
ALB,800138.0,3.0,779.0,,52.4,Closing,27.6
ALB,800139.0,3.0,46.0,,52.4,Closing,11.4
ALB,800140.0,3.0,123.0,,52.4,Closing,11.4
ALB,800141.0,3.0,355.0,,52.4,Closing,20.2
ALB,800142.0,3.0,852.0,,52.4,Closing,10.1
ALB,800143.0,3.0,74.0,,52.4,Closing,13.6
ALB,800144.0,3.0,106.0,,52.4,Closing,19.8
ALB,800145.0,3.0,310.0,,52.4,Closing,11.4
ALB,800146.0,3.0,396.0,,52.4,Closing,9.5
ALB,800147.0,3.0,521.0,,52.4,Closing,22.9
ALB,800148.0,3.0,99999999.0,,52.4,Closing,10.1
ALB,800149.0,3.0,597.0,,52.4,Closing,16.7
ALB,800150.0,3.0,187.0,,52.4,Closing,11.4
ALB,800151.0,3.0,199.0,,52.4,Closing,11.4
ALB,800153.0,1.0,136.0,,52.4,Closing,9.5
ALB,800154.0,3.0,140.0,,52.4,Closing,9.5
ALB,800155.0,3.0,57.0,,52.4,Closing,19.8
ALB,800156.0,3.0,767.0,,52.4,Closing,10.1
ALB,800157.0,3.0,190.0,,52.4,Closing,20.4
ALB,800158.0,3.0,800.0,,52.4,Closing,10.1
ALB,800159.0,3.0,539.0,,52.4,Closing,26.3
ALB,800160.0,3.0,397.0,,52.4,Closing,11.4
ALB,800161.0,3.0,738.0,,52.4,Closing,17.3
ALB,800162.0,3.0,922.0,,52.4,Closing,16.1
ALB,800163.0,1.0,299.0,,52.4,Closing,19.8
ALB,800164.0,3.0,96.0,,52.4,Closing,14.8
ALB,800165.0,1.0,467.0,,52.4,Closing,10.7
ALB,800166.0,3.0,423.0,,52.4,Closing,23.1
ALB,800167.0,3.0,,,52.4,Closing,19.6
