"","year","country","school_id","student_id","mother_educ","father_educ","gender","computer","internet","math","read","science","stu_wgt","desk","room","dishwasher","television","computer_n","car","book","wealth","escs"
"1",2018,"AUS","3600310",3606824,"ISCED 3A","ISCED 3A","male","yes","yes",427.631,425.307,369.288,3.11283,"yes","yes",NA,"1","2","3+","201-500",0.1688,1.21
"2",2018,"AUS","3600251",3605794,"ISCED 2","ISCED 1","female","yes","yes",479.464,513.694,486.794,27.41035,"yes","yes",NA,"3+","1","3+","101-200",0.6327,-0.816
"3",2018,"AUS","3600639",3613122,"ISCED 3A","ISCED 3A","female","yes","yes",490.057,593.488,469.697,14.56053,"yes","yes",NA,"3+","3+","3+","0-10",1.4097,0.0932
"4",2018,"AUS","3600704",3611607,"ISCED 3A","ISCED 1","female","no","yes",517.379,588.042,584.995,21.68163,"yes","yes",NA,"2","1","3+","0-10",-0.1318,-0.4153
"5",2018,"AUS","3600736",3606403,NA,NA,"male","yes","no",527.985,535.348,560.943,15.57013,"yes","yes",NA,"2","3+","2","26-100",0.2886,NA
"6",2018,"AUS","3600715",3621081,"ISCED 3A","ISCED 3A","female","yes","yes",462.708,401.866,467.13,10.96668,"yes","yes",NA,"3+","3+","3+","201-500",1.8571,0.7428
"7",2018,"AUS","3600588",3611904,NA,NA,"male","yes","yes",307.27,258.977,325.47,4.65222,"yes","yes",NA,"2","3+","2","101-200",0.9773,0.2569
"8",2018,"AUS","3600189",3604175,"ISCED 3A","ISCED 3A","female","yes","yes",526.141,477.567,531.282,15.6436,"yes","yes",NA,"3+","3+","2","26-100",0.5616,-0.6058
"9",2018,"AUS","3600448",3619494,"ISCED 3A","ISCED 3A","male","yes","yes",540.637,591.091,552.097,21.64569,"yes","no",NA,"3+","3+","1","201-500",0.3078,1.4213
"10",2018,"AUS","3600420",3607838,"ISCED 2","ISCED 2","female","yes","yes",585.021,562.828,580.585,19.20586,"yes","yes",NA,"3+","2","3+","26-100",0.2896,-1.2732
"11",2018,"AUS","3600539",3619322,"ISCED 2","ISCED 2","female","yes","yes",540.159,523.034,467.431,14.12282,"yes","yes",NA,"3+","3+","3+","101-200",0.755,0.3353
"12",2018,"AUS","3600722",3602700,NA,NA,"male","yes","yes",468.947,443.422,483.847,13.4961,"yes","yes",NA,"3+","1","2","11-25",-0.4479,-0.6413
"13",2018,"AUS","3600723",3621652,"ISCED 3A","ISCED 2","female","yes","yes",555.406,603.617,517.569,10.87349,"yes","yes",NA,"2","3+","2","201-500",0.7781,0.9297
"14",2018,"AUS","3600054",3614285,"ISCED 3A","ISCED 3A","female","yes","yes",667.748,697.062,675.422,12.61609,"yes","no",NA,"1","3+","2","26-100",0.51,0.377
"15",2018,"AUS","3600709",3604250,NA,NA,"male",NA,NA,627.199,602.945,585.386,39.36026,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2018,"AUS","3600328",3616845,"ISCED 3A","ISCED 3A","female","yes","yes",568.716,618.804,663.729,21.13956,"yes","yes",NA,"2","3+","3+","more than 500",1.2695,1.9141
"17",2018,"AUS","3600390",3620209,"ISCED 3A","ISCED 1","female","yes","yes",420.389,455.118,401.791,29.60201,"yes","yes",NA,"1","1","1","101-200",-1.4789,-1.337
"18",2018,"AUS","3600399",3613239,"ISCED 3A","ISCED 3A","male","yes","yes",616.991,591.239,606.938,7.92484,"yes","no",NA,"2","3+","3+","more than 500",0.463,1.3007
