"","year","country","school_id","student_id","mother_educ","father_educ","gender","computer","internet","math","read","science","stu_wgt","desk","room","dishwasher","television","computer_n","car","book","wealth","escs"
"1",2015,"AUS","3600312",3603597,"ISCED 3A","ISCED 1","female","yes","yes",464.802,475.443,497.027,5.25296,"yes","yes",NA,"3+","3+","3+","more than 500",1.5724,-0.1974
"2",2015,"AUS","3600261",3605709,"ISCED 3A","ISCED 3A","female","yes","yes",377.557,388.499,374.851,26.4021,"yes","yes",NA,"3+","3+","2","201-500",1.4606,1.728
"3",2015,"AUS","3600634",3616293,"ISCED 3A","ISCED 3A","male","yes","yes",596.473,562.143,692.319,29.84327,"yes","yes",NA,"2","3+","2","201-500",0.1688,0.5497
"4",2015,"AUS","3600700",3602963,"ISCED 3A","ISCED 2","female","yes","yes",587.434,571.773,544.215,18.75894,"yes","yes",NA,"1","3+","2","101-200",0.1852,0.7482
"5",2015,"AUS","3600732",3605516,"ISCED 3A","ISCED 3A","female","yes","yes",385.449,270.049,362.488,9.96731,"yes","yes",NA,"2","2","1","26-100",0.1402,0.923
"6",2015,"AUS","3600713",3610405,"ISCED 2","ISCED 3A","female","yes","yes",382.821,408.192,385.454,34.23561,"yes","yes",NA,"3+","2","2","26-100",0.3167,0.3627
"7",2015,"AUS","3600580",3609509,"ISCED 3A","ISCED 1","male","yes","yes",389.717,351.314,385.166,31.5299,"yes","yes",NA,"3+","3+","2","26-100",1.3731,0.7326
"8",2015,"AUS","3600194",3609300,"ISCED 3A",NA,"female","yes","yes",501.612,496.788,506.233,29.18323,"yes","yes",NA,"2","3+","2","26-100",0.6311,0.5872
"9",2015,"AUS","3600440",3618756,"ISCED 3A","ISCED 2","female","yes","yes",539.461,615.282,541.627,29.4024,"yes","yes",NA,"2","2","2","26-100",0.2387,0.4767
"10",2015,"AUS","3600418",3610153,"ISCED 3A","ISCED 3A","female","yes","yes",562.767,605.472,578.005,22.06117,"yes","yes",NA,"3+","3+","3+","201-500",1.5204,1.448
