"","year","country","school_id","student_id","mother_educ","father_educ","gender","computer","internet","math","read","science","stu_wgt","desk","room","dishwasher","television","computer_n","car","book","wealth","escs"
"1",2009,"AUS","00347",14009,"ISCED 3A","ISCED 3A","male","yes","yes",550.56,543.74,576.04,25.3516,"yes","yes","yes","2","3+","2","201-500",0.4475,1.0471
"2",2009,"AUS","00267",10794,"ISCED 3B, C","ISCED 3A","female","yes","yes",477.34,532.47,533.14,26.4316,"yes","yes","yes","3+","1","2","101-200",0.4475,-0.1611
"3",2009,"AUS","00216",8685,"ISCED 3A","ISCED 3A","male","yes","yes",466.59,467.35,528.76,11.6719,"yes","yes","no","3+","1","2","11-25",-0.0033,0.4128
"4",2009,"AUS","00197",7971,"ISCED 3A","ISCED 3B, C","female","yes","yes",340.64,392.26,383.66,4.6081,"yes","yes","no","3+","2",NA,"101-200",0.5073,-0.887
"5",2009,"AUS","00169",6925,"ISCED 3B, C","ISCED 3B, C","male","yes","yes",429.83,437.68,437.84,2.0769,"yes","yes","no","3+","2","1","11-25",-0.0033,-0.1838
"6",2009,"AUS","00154",6291,"ISCED 3A","ISCED 3B, C","female","yes","yes",509.28,564.48,568.3,6.7358,"yes","yes","yes","2","1","3+","26-100",0.4475,-0.0614
"7",2009,"AUS","00091",3675,"ISCED 3A",NA,"male","yes",NA,408.02,312.62,300.76,19.5112,NA,"yes",NA,"1","3+","0","11-25",0.0612,-0.0996
"8",2009,"AUS","00249",10054,"ISCED 3A","ISCED 3A","male","yes","yes",626.2,596.57,635.53,25.2682,"yes","yes","yes","3+","3+","3+","201-500",1.3358,1.2806
"9",2009,"AUS","00265",10691,NA,NA,"male",NA,NA,259.63,205.04,198.1,19.8656,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2009,"AUS","00064",2586,"ISCED 3A","ISCED 3B, C","male","yes","yes",573.15,526.11,525.68,17.8514,"yes","yes","yes","2","3+","3+","101-200",1.3358,1.0593
"11",2009,"AUS","00256",10352,"ISCED 3B, C","ISCED 3B, C","female","yes","yes",531.09,556.54,551.51,12.6655,"yes","yes","no","3+","2","1","11-25",0.2131,0.2087
"12",2009,"AUS","00200",8095,"ISCED 3A","ISCED 3A","male","yes","yes",629.23,610.28,678.61,6.111,"yes","yes","yes","2","3+","2","11-25",0.9919,1.3675
"13",2009,"AUS","00096",3873,"ISCED 3B, C","ISCED 3B, C","female","yes","yes",552.9,597.85,583.22,5.1678,"yes","yes","yes","3+","1","2","201-500",0.2131,-0.1609
"14",2009,"AUS","00350",14154,"ISCED 2","ISCED 2","female","no","no",268.12,291.76,292.56,1.7783,"no","yes","no","2","0","0","0-10",-0.7539,-0.4325
"15",2009,"AUS","00313",12685,"ISCED 2","ISCED 3B, C","male","yes","yes",301.22,299.07,341.14,6.2793,NA,"yes","no","3+","1","3+","201-500",0.4475,-0.144
"16",2009,"AUS","00217",8749,"ISCED 2","ISCED 2","male","yes","yes",413.78,430.71,417.51,22.9906,"yes","yes","yes","3+","3+","2","201-500",1.3358,-0.8552
"17",2009,"AUS","00234",9472,"ISCED 3B, C","ISCED 3B, C","female","yes","yes",374.52,411.96,421.89,23.2388,"yes","yes","no","3+","2","3+","26-100",1.3358,0.201
"18",2009,"AUS","00187",7531,"ISCED 3B, C","ISCED 3B, C","female","yes","yes",617.63,626.13,650.45,21.9971,"yes","yes","yes","3+","2","2","26-100",1.3358,0.3882
"19",2009,"AUS","00237",9572,"ISCED 3B, C","ISCED 3A","female","no","no",363.62,389.71,454.53,3.7369,"yes","yes","yes","2","1","2","26-100",-0.0033,-0.3672
"20",2009,"AUS","00243",9860,"ISCED 3A","ISCED 3A","female","yes","yes",486.69,597.13,571.09,25.3258,"yes","no","yes","1","3+","1","201-500",0.2131,1.0829
"21",2009,"AUS","00041",1534,"ISCED 3A","ISCED 3A","female","yes","yes",448.6,522.86,477,11.2719,"yes","no","no","2","3+","2","201-500",-0.2047,0.6768
"22",2009,"AUS","00184",7428,"ISCED 3B, C",NA,"male","yes","yes",484.66,447.54,451.08,20.8048,"yes","yes","yes","3+","2","1","26-100",0.7032,0.459
"23",2009,"AUS","00114",4591,"ISCED 3A","ISCED 3A","female","yes","yes",478.43,567.42,540.6,13.8299,"yes","yes","no","2","1","2","101-200",0.2131,0.8618
"24",2009,"AUS","00334",13497,"ISCED 3A","ISCED 3A","female","yes","yes",518.7,543.51,533.89,32.4434,"yes","yes","yes","3+","2","2","101-200",0.7032,0.5438
"25",2009,"AUS","00203",8229,"ISCED 3A","ISCED 3A","female","yes","yes",571.59,504.11,524.47,22.814,"yes","yes","yes","3+","3+","3+","11-25",1.7748,0.3742
"26",2009,"AUS","00139",5653,"ISCED 3A","ISCED 3A","female","yes","yes",644.73,620.49,638.6,22.1171,"yes","yes","yes","3+","2","2","201-500",0.9919,1.2812
"27",2009,"AUS","00106",4260,"ISCED 2","ISCED 3B, C","male","yes","yes",449.3,404.49,429.35,3.1744,"yes","yes","no","3+","3+","2","26-100",0.7032,-0.8336
"28",2009,"AUS","00341",13811,"ISCED 3B, C","ISCED 3B, C","female","yes","yes",377.95,505.46,505.17,22.5225,"yes","yes","yes","2","1","3+","101-200",0.4475,0.7828
"29",2009,"AUS","00283",11427,"ISCED 3A","ISCED 3A","male","yes","yes",648.86,695.02,721.78,5.0417,"yes","yes","yes","2","3+","2","more than 500",0.9919,1.2542
"30",2009,"AUS","00326",13180,"ISCED 3B, C","ISCED 3B, C","female","yes","yes",573.54,613.89,574.82,28.0615,"yes","yes","yes","3+","3+","2","101-200",0.9919,-0.0091
"31",2009,"AUS","00317",12843,NA,NA,"female","yes","yes",488.95,587.92,491.27,3.7759,"yes","yes","no","3+","1","2","101-200",-0.2047,-0.6367
"32",2009,"AUS","00111",4500,"ISCED 3A","ISCED 3B, C","female","yes","yes",455.53,504.9,457.33,10.2448,"yes","yes","yes","3+","3+","3+","26-100",2.3806,0.3983
"33",2009,"AUS","00192",7765,"ISCED 3A","ISCED 3B, C","male","yes","yes",609.84,634.25,643.92,17.5173,"yes","yes","yes","1","3+","3+","201-500",0.7032,1.0327
"34",2009,"AUS","00051",1982,NA,NA,"male","yes","yes",482.33,457.97,518.22,15.8812,"yes","yes","yes","3+","3+","2","11-25",0.9919,0.3935
"35",2009,"AUS","00114",4595,"ISCED 3B, C","ISCED 3B, C","male","yes","yes",394.7,385.9,409.87,10.6496,"yes","yes","yes","3+","1","2","11-25",0.4475,-0.1083
"36",2009,"AUS","00060",2386,"ISCED 3B, C","ISCED 2","male","yes","yes",343.36,269.33,310.09,20.5889,"yes","yes","yes","3+","1","1","0-10",-0.0033,-0.1418
"37",2009,"AUS","00098",3952,"ISCED 3A","ISCED 3B, C","male","yes","yes",465.66,450.27,494.91,2.0726,"yes","yes","yes","3+","1","2","26-100",0.4475,0.0364
"38",2009,"AUS","00161",6562,NA,NA,"male","no","yes",392.44,411.47,417.51,23.1008,"yes","yes","yes",NA,NA,NA,"0-10",1.4923,0.305
"39",2009,"AUS","00211",8553,NA,NA,"female","yes","yes",425.31,438.49,441.1,9.4227,"no","yes","no","3+","2","3+","0-10",0.4475,-0.2384
"40",2009,"AUS","00228",9220,"ISCED 3B, C","ISCED 3B, C","male","yes","yes",719.12,647.96,692.6,51.1845,"yes","yes","yes","3+","3+","2","201-500",0.9919,0.9577
