feature,mean_abs_shap,mean_shap,is_policy,direction
MEAN_ESCS,3.4946194,-0.0671957,False,reduces_slope
N_STUDENTS,1.2742789,0.05580965,False,increases_slope
LOG_GDP_PC,0.9614568,0.07571484,False,increases_slope
SC202Q10JA,0.80181646,-0.023891272,False,reduces_slope
N_SCHOOLS,0.69278955,0.026280606,False,increases_slope
SC012Q05TA,0.6888664,-0.005137019,True,reduces_slope
SC172Q04JA,0.67369443,0.018356672,False,increases_slope
SCHAUTO,0.66432184,0.012394876,False,increases_slope
SC212Q01JA,0.5932905,-0.011211836,False,reduces_slope
SC017Q09JA,0.59328777,-0.044286452,False,reduces_slope
SC012Q02TA,0.5570148,-0.022752732,True,reduces_slope
SC012Q08JA,0.55699337,-0.007840679,False,reduces_slope
SC213Q01JA,0.5160127,0.033433925,False,increases_slope
SC188Q03JA,0.5059258,0.021348663,False,increases_slope
SC172Q07JA,0.502039,-0.0016056073,False,reduces_slope
SC172Q05JA,0.48247498,-0.036201492,False,reduces_slope
SC190Q02JA,0.4456808,-0.012879346,False,reduces_slope
SC180Q01JA,0.43351468,-0.007813464,False,reduces_slope
SC190Q07JA,0.4138108,0.003791256,False,increases_slope
SD_ESCS,0.38047433,-0.019749327,False,reduces_slope
SC202Q04JA,0.37977636,0.044881627,False,increases_slope
SC017Q10JA,0.37355635,-0.01795024,False,reduces_slope
SC004Q05NA,0.37034455,-0.0009427238,False,reduces_slope
SC213Q02JA,0.35795292,-0.008620366,False,reduces_slope
SC053Q01TA,0.3429914,0.010106518,False,increases_slope
SC208Q07JA,0.33557782,0.008369633,False,increases_slope
SC188Q05JA,0.32224643,-0.0046318285,False,reduces_slope
SC202Q09JA,0.29000303,-0.0062073283,False,reduces_slope
SC053Q06NA,0.27947643,0.026301777,False,increases_slope
SC017Q05NA,0.25141078,0.023371056,False,increases_slope
SC172Q03JA,0.24177894,0.008679019,False,increases_slope
SC192Q01JA,0.20135048,-0.013567096,False,reduces_slope
SC201Q11JA,0.16215898,0.0037754637,False,increases_slope
SC172Q02JA,0.1311361,0.0028419716,False,increases_slope
SC016Q03TA,0.12739563,-0.0030335153,False,reduces_slope
EDU_PCT,0.054585334,-0.0017722967,False,reduces_slope
GINI,0.047111426,-0.007229832,False,reduces_slope
