school_quadrant,school_mean_math,within_school_gap,school_mean_escs,low_perf_share_400,EQUITY_RISK_SCORE,NEGSCLIM,STAFFSHORT,EDUSHORT,student_belong_mean,student_math_anxiety_mean
High performance / High inequality,501.94575493000673,69.58284113005774,0.21616739909308555,0.12081051809897321,59.6222626176219,-0.03858206955530217,0.046279982073498656,-0.35320197590361446,0.02453804813861949,0.12776338697257145
High performance / Low inequality,511.6199912251804,0.8095408334499473,0.19704192752436459,0.08478859748391022,56.40451718494271,-0.3077643061809251,-0.14023672291296627,-0.35861861163227016,-0.002257558297714292,0.13959987746968477
Low performance / High inequality,394.0723393449422,54.46120354071034,-0.6428103373888977,0.5655608561877707,46.365761047463174,-0.0820589090909091,0.2626698381365969,0.2005318529304696,-0.13789114015970214,0.3299221706362531
Low performance / Low inequality,375.3393197294629,-0.19229685346553615,-0.8740334144074646,0.6673876039111527,41.76828485885372,-0.08526752913752914,0.21719077152071445,0.3255114785073217,-0.19211219810265692,0.3538321811128074
